# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Aug  2 15:42:12 2025
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
24 Sex c,24 Sex,1,2,883.00000000000,32.40000000000,-13.80000000000,0,13.90000000,,,0,1.24000000,,,0,K0 IV,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.16400,0.00300,-0.00300,0
2M0437 b,2MASS J04372171+2651014,1,1,,,,,13.00000000,,,0,1.16000000,,,0,M V,3100.00,100.00,-100.00,0,0.840000,0.110000,-0.110000,0,-1.16368,0.00315,-0.00318,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,,,,12.30000000,,,0,1.10000000,,,0,M5.5/M6,,,,,,,,,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,,,,11.20900000,,,0,1.00000000,,,0,M3.5 V,3530.00,50.00,-50.00,0,0.366450,0.011155,-0.011155,0,-1.72000,0.11000,-0.11000,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,,,,16.14096000,0.33627000,-0.33627000,0,1.44000000,0.03000000,-0.03000000,0,M6,3064.00,76.00,-76.00,0,0.281000,0.013000,-0.013000,0,-2.23000,0.06000,-0.06000,0
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,,,,,12.40000000,,,0,1.11000000,,,0,M6 V,2859.00,157.00,-157.00,0,0.315959,0.009624,-0.009624,0,-2.59000,0.09000,-0.09000,0
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,,,,,12.20000000,,,0,1.08000000,,,0,,2943.00,157.00,-157.00,0,0.289776,0.010070,-0.010070,0,-2.24602,0.10888,-0.14566,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,,,,12.60000000,,,0,1.13000000,,,0,M8.5,2936.00,182.00,-182.00,0,0.231916,0.011553,-0.011553,0,-2.44363,0.13081,-0.18807,0
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,,,,,11.90000000,,,0,1.06000000,,,0,,,,,,,,,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,,,,,12.10000000,,,0,1.08000000,,,0,,3021.00,157.00,-157.00,0,0.600455,0.017923,-0.017923,0,-1.56774,0.10356,-0.13626,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,,,,12.90000000,,,0,1.15000000,,,0,M8,2825.00,157.00,-157.00,0,0.218870,0.006976,-0.006976,0,-2.56086,0.10996,-0.14760,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,406.00000000000,4.00000000000,-4.00000000000,0,13.40000000,,,0,1.20000000,,,0,,29564.00,,,0,0.203000,0.001000,-0.001000,0,1.45000,,,0
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,,,,,12.40000000,,,0,1.10000000,,,0,,3592.00,157.00,-157.00,0,0.672832,0.020973,-0.020973,0,-1.16815,0.09286,-0.11827,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,,,,12.30000000,,,0,1.10000000,,,0,K7 V,4045.00,35.00,-35.00,0,0.641152,0.060021,-0.062602,0,-1.02143,0.00156,-0.00157,0
30 Ari B b,30 Ari B,4,1,335.10001000000,2.50000000000,-2.50000000000,0,12.30000000,,,0,1.10000000,,,0,F6 V,6331.00,61.00,-61.00,0,1.410000,0.050000,-0.050000,0,0.38099,0.00138,-0.00138,0
4 UMa b,4 UMa,1,1,270.27000000000,0.24000000000,-0.09000000000,0,12.60000000,,,0,1.12000000,,,0,K1 III,4415.00,70.00,-70.00,0,18.110000,1.470000,-1.470000,0,2.06236,0.00794,-0.00809,0
47 UMa b,47 UMa,1,3,1078.00000000000,2.00000000000,-2.00000000000,0,13.20000000,,,0,1.18000000,,,0,G0V,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,0.19780,0.01239,-0.01118,0
47 UMa c,47 UMa,1,3,2391.00000000000,100.00000000000,-87.00000000000,0,14.20000000,,,0,1.27000000,,,0,G0V,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,0.19780,0.01239,-0.01118,0
47 UMa d,47 UMa,1,3,14002.00000000000,4018.00000000000,-5095.00000000000,0,13.50000000,,,0,1.20000000,,,0,G0V,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,0.19780,0.01239,-0.01118,0
51 Eri b,51 Eri,3,1,11688.00000000000,6209.25000000000,-3287.25000000000,0,13.40000000,,,0,1.19000000,,,0,F0 IV,7295.00,120.09,-98.99,0,1.487260,0.045434,-0.055079,0,0.85000,0.06000,-0.06000,0
51 Peg b,51 Peg,1,1,4.23078500000,0.00003600000,-0.00003600000,0,14.30000000,,,0,1.27000000,,,0,G5V,5758.00,101.62,-119.62,0,1.175610,0.067361,-0.035328,0,0.13631,0.00742,-0.01525,0
55 Cnc b,55 Cnc,2,5,14.65160000000,0.00010000000,-0.00010000000,0,13.90000000,,,0,1.24000000,,,0,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,-0.19695,0.01250,-0.01039,0
55 Cnc c,55 Cnc,2,5,44.39890000000,0.00420000000,-0.00430000000,0,8.51000000,,,0,0.76000000,,,0,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,-0.19695,0.01250,-0.01039,0
55 Cnc d,55 Cnc,2,5,5574.20000000000,93.80000000000,-88.60000000000,0,13.00000000,,,0,1.16000000,,,0,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,-0.19695,0.01250,-0.01039,0
55 Cnc e,55 Cnc,2,5,0.73654740000,0.00000130000,-0.00000140000,0,1.87500000,0.02900000,-0.02900000,0,0.16727630,0.00258721,-0.00258721,0,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,-0.19695,0.01250,-0.01039,0
55 Cnc f,55 Cnc,2,5,259.88000000000,0.29000000000,-0.29000000000,0,7.59000000,,,0,0.67700000,,,0,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,-0.19695,0.01250,-0.01039,0
6 Lyn b,6 Lyn,1,1,919.86000000000,1.92000000000,-3.71000000000,0,13.40000000,,,0,1.20000000,,,0,K0 IV,4941.00,,,0,4.940000,0.550000,-0.500000,0,1.11860,0.09545,-0.09823,0
61 Vir b,61 Vir,1,3,4.21500000000,0.00060000000,-0.00060000000,0,2.11000000,,,0,0.18800000,,,0,G5 V,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,-0.09500,0.00300,-0.00300,0
61 Vir c,61 Vir,1,3,38.02100000000,0.03400000000,-0.03400000000,0,4.46000000,,,0,0.39800000,,,0,G5 V,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,-0.09500,0.00300,-0.00300,0
61 Vir d,61 Vir,1,3,123.01000000000,0.55000000000,-0.55000000000,0,5.11000000,,,0,0.45600000,,,0,G5 V,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,-0.09500,0.00300,-0.00300,0
7 CMa b,7 CMa,1,2,735.10000000000,14.80000000000,-1.00000000000,0,13.40000000,,,0,1.20000000,,,0,K1III(+M),4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,1.06258,0.01150,-0.00759,0
7 CMa c,7 CMa,1,2,996.00000000000,1.50000000000,-52.40000000000,0,13.90000000,,,0,1.24000000,,,0,K1III(+M),4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,1.06258,0.01150,-0.00759,0
70 Vir b,70 Vir,1,1,116.68800000000,0.00540000000,-0.00540000000,0,12.60000000,,,0,1.13000000,,,0,G5V,5495.00,,,0,1.890000,,,0,0.45130,0.00940,-0.00960,0
75 Cet b,75 Cet,2,2,696.62000000000,1.33000000000,-1.69000000000,0,13.30000000,,,0,1.18000000,,,0,G3 III,4809.00,,,0,10.380000,0.150000,-0.260000,0,1.71450,0.01207,-0.02103,0
75 Cet c,75 Cet,2,2,2051.62000000000,45.98000000000,-40.47000000000,0,13.90000000,,,0,1.24000000,,,0,G3 III,4809.00,,,0,10.380000,0.150000,-0.260000,0,1.71450,0.01207,-0.02103,0
8 UMi b,8 UMi,1,1,93.40000000000,4.50000000000,-4.50000000000,0,13.60000000,,,0,1.22000000,,,0,K0,4847.00,7.00,-7.00,0,10.300000,0.570000,-0.570000,0,1.72518,0.00297,-0.00299,0
81 Cet b,81 Cet,1,1,1005.57000000000,1.84000000000,-1.94000000000,0,13.10000000,,,0,1.17000000,,,0,G5 III,4734.00,,,0,11.210000,0.810000,-0.350000,0,1.76027,0.05934,-0.04061,0
91 Aqr b,91 Aqr,3,1,181.40000000000,0.10000000000,-0.10000000000,0,13.10000000,,,0,1.17000000,,,0,K0 III,4665.00,18.00,-18.00,0,11.000000,0.100000,-0.100000,0,1.69239,0.00617,-0.00626,0
AB Aur b,AB Aur,1,1,,,,,12.50000000,,,0,1.12000000,,,0,,9770.00,100.00,-100.00,0,2.958870,0.096638,-0.070698,0,1.77085,0.03533,-0.03846,0
AB Pic b,AB Pic,1,1,,,,,12.30000000,,,0,1.10000000,,,0,K2 V,5285.00,10.00,-9.00,0,0.999394,0.029598,-0.022233,0,-0.22631,0.00115,-0.00116,0
AF Lep b,AF Lep,1,1,8030.00000000000,1800.00000000000,-1800.00000000000,0,13.10000000,,,0,1.17000000,,,0,F8 V,6130.00,60.00,-60.00,0,1.250000,0.060000,-0.060000,0,0.29000,0.01100,-0.01100,0
AT2021ueyL b,AT2021ueyL,1,1,4168.69000000000,2910.76000000000,-1713.98000000000,0,13.60000000,,,0,1.22000000,,,0,M V,3680.00,307.00,-204.00,0,,,,,,,,
AU Mic b,AU Mic,1,3,8.46308000000,0.00006000000,-0.00006000000,0,3.95677019,0.14571675,-0.14571675,0,0.35300000,0.01300000,-0.01300000,0,M1,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,-1.03810,0.04925,-0.04914,0
AU Mic c,AU Mic,1,3,18.85969000000,0.00008000000,-0.00008000000,0,2.52202066,0.24659758,-0.24659758,0,0.22500000,0.02200000,-0.02200000,0,M1,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,-1.03810,0.04925,-0.04914,0
AU Mic d,AU Mic,1,3,12.73596000000,0.00793000000,-0.00793000000,0,1.02000000,,,0,0.09120000,,,0,M1,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,-1.03810,0.04925,-0.04914,0
BD+03 2562 b,BD+03 2562,1,1,481.90000000000,2.70000000000,-2.80000000000,0,12.70000000,,,0,1.13000000,,,0,,4095.00,20.00,-20.00,0,32.350000,8.820000,-8.820000,0,2.70000,0.14000,-0.14000,0
BD+05 4868 A b,BD+05 4868 A,2,1,1.27186900000,0.00000100000,-0.00000100000,0,,,,,,,,,K V,4596.00,65.00,-64.00,0,0.690000,0.020000,-0.020000,0,-0.71670,0.01116,-0.01146,0
BD+14 4559 b,BD+14 4559,1,1,268.94000000000,0.99000000000,-0.99000000000,0,13.80000000,,,0,1.23000000,,,0,K2 V,4864.00,101.00,-101.00,0,0.860000,0.040000,-0.040000,0,-0.32000,,,0
BD+15 2375 b,BD+15 2375,1,1,153.22000000000,0.44000000000,-0.44000000000,0,13.80000000,,,0,1.23000000,,,0,G5,4649.00,30.00,-30.00,0,8.950000,1.450000,-1.450000,0,1.57000,0.10000,-0.10000,0
BD+15 2940 b,BD+15 2940,1,1,137.48000000000,0.34000000000,-0.34000000000,0,13.70000000,,,0,1.23000000,,,0,K0,4796.00,117.00,-117.00,0,14.700000,2.800000,-2.800000,0,2.01000,0.75000,-0.75000,0
BD+20 2457 b,BD+20 2457,1,2,379.63000000000,2.01000000000,-2.01000000000,0,12.10000000,,,0,1.08000000,,,0,K2 II,4137.00,10.00,-10.00,0,49.000000,26.000000,-26.000000,0,3.17000,,,0
BD+20 2457 c,BD+20 2457,1,2,621.99000000000,10.20000000000,-10.20000000000,0,12.40000000,,,0,1.10000000,,,0,K2 II,4137.00,10.00,-10.00,0,49.000000,26.000000,-26.000000,0,3.17000,,,0
BD+20 274 b,BD+20 274,1,1,578.20000000000,5.40000000000,-5.40000000000,0,13.00000000,,,0,1.16000000,,,0,K5 III,4296.00,10.00,-10.00,0,17.300000,0.900000,-0.900000,0,1.96000,0.18000,-0.18000,0
BD+20 594 b,BD+20 594,1,1,41.68550000000,0.00300000000,-0.00300000000,0,2.57807000,0.11209000,-0.11209000,0,0.23000000,0.01000000,-0.01000000,0,G,5766.00,99.00,-99.00,0,1.080000,0.060000,-0.060000,0,-0.05552,0.06835,-0.06367,0
BD+45 564 b,BD+45 564,1,1,307.88000000000,1.47000000000,-1.47000000000,0,13.60000000,,,0,1.21000000,,,0,K1,5004.00,50.00,-50.00,0,0.813064,0.041485,-0.044083,0,-0.39918,0.00847,-0.01207,0
BD+48 738 b,BD+48 738,1,1,392.60000000000,5.50000000000,-5.50000000000,0,13.90000000,,,0,1.24000000,,,0,K0 III,4414.00,15.00,-15.00,0,11.000000,1.000000,-1.000000,0,1.69000,0.33000,-0.33000,0
BD+48 740 b,BD+48 740,1,1,733.00000000000,5.00000000000,-8.00000000000,0,13.50000000,,,0,1.20000000,,,0,K3 III,4534.00,8.00,-8.00,0,10.330000,1.810000,-1.810000,0,1.64000,0.12000,-0.12000,0
BD+49 828 b,BD+49 828,1,1,2590.00000000000,300.00000000000,-180.00000000000,0,13.50000000,,,0,1.21000000,,,0,K0,4943.00,30.00,-30.00,0,7.600000,1.300000,-1.300000,0,1.47000,0.13000,-0.13000,0
BD+55 362 b,BD+55 362,1,1,265.59000000000,1.04000000000,-1.04000000000,0,14.00000000,,,0,1.25000000,,,0,K3,5012.00,78.00,-78.00,0,0.896193,0.062857,-0.042550,0,-0.31295,0.01350,-0.00853,0
BD+60 1417 b,BD+60 1417,1,1,,,,,14.68376472,0.67253884,-0.67253884,0,1.31000000,0.06000000,-0.06000000,0,K0,4993.00,124.00,-124.00,0,0.797000,0.051000,-0.051000,0,0.35595,0.01021,-0.01021,0
BD+63 1405 b,BD+63 1405,1,1,1198.48000000000,60.79000000000,-60.79000000000,0,12.40000000,,,0,1.11000000,,,0,K0,5000.00,53.00,-53.00,0,0.804724,0.040718,-0.059493,0,-0.41295,0.01024,-0.01312,0
BD-06 1339 b,BD-06 1339,1,2,3.87280000000,0.00040000000,-0.00040000000,0,2.85000000,,,0,0.25400000,,,0,K7/M0 V,4324.00,100.00,-100.00,0,0.686355,0.063406,-0.074042,0,-1.02200,0.04300,-0.04800,0
BD-06 1339 c,BD-06 1339,1,2,125.94000000000,0.44000000000,-0.44000000000,0,8.38000000,,,0,0.74700000,,,0,K7/M0 V,4324.00,100.00,-100.00,0,0.686355,0.063406,-0.074042,0,-1.02200,0.04300,-0.04800,0
BD-08 2823 b,BD-08 2823,1,2,5.60000000000,0.02000000000,-0.02000000000,0,3.61000000,,,0,0.32200000,,,0,K3 V,4816.00,114.00,-114.00,0,0.710000,0.040000,-0.040000,0,-0.62597,0.00106,-0.00106,0
BD-08 2823 c,BD-08 2823,1,2,237.60000000000,1.50000000000,-1.50000000000,0,12.50000000,,,0,1.11000000,,,0,K3 V,4746.00,63.00,-63.00,0,0.710000,0.040000,-0.040000,0,-0.62597,0.00106,-0.00106,0
BD-10 3166 b,BD-10 3166,1,1,3.48777000000,0.00011000000,-0.00011000000,0,14.10000000,,,0,1.26000000,,,0,K0 V,5393.00,44.00,-44.00,0,0.910000,0.040000,-0.040000,0,-0.19120,0.00249,-0.00251,0
BD-11 4672 b,BD-11 4672,1,2,1634.00000000000,13.00000000000,-14.00000000000,0,14.10000000,,,0,1.25000000,,,0,K7V,4550.00,110.00,-110.00,0,0.639000,0.020000,-0.022000,0,-0.80410,0.04961,-0.04977,0
BD-11 4672 c,BD-11 4672,1,2,74.20000000000,0.06000000000,-0.08000000000,0,4.04000000,,,0,0.36000000,,,0,K7V,4550.00,110.00,-110.00,0,0.639000,0.020000,-0.022000,0,-0.80410,0.04961,-0.04977,0
BD-13 2130 b,BD-13 2130,1,1,714.29999000000,5.30000000000,-5.30000000000,0,12.50000000,,,0,1.11000000,,,0,G5 IV/V,4545.00,71.00,-71.00,0,19.170000,4.960000,-4.960000,0,2.04268,0.02651,-0.02824,0
BD-14 3065 b,BD-14 3065 A,3,1,4.28897310000,0.00000520000,-0.00000520000,0,21.59000000,1.05000000,-1.05000000,0,1.92600000,0.09400000,-0.09400000,0,,6935.00,90.00,-90.00,0,2.350000,0.080000,-0.080000,0,1.06000,0.03000,-0.03000,0
BD-17 63 b,BD-17 63,1,1,655.57000000000,0.58000000000,-0.58000000000,0,12.80000000,,,0,1.15000000,,,0,K5 V,4714.00,93.00,-93.00,0,0.740000,0.040000,-0.040000,0,-0.67800,0.04000,-0.04300,0
BD-210397 b,BD-210397,1,2,1891.00000000000,56.00000000000,-48.00000000000,0,14.00000000,,,0,1.25000000,,,0,K7 V,4051.00,239.00,-239.00,0,0.747000,0.088000,-0.088000,0,-0.86967,0.00639,-0.00648,0
BD-210397 c,BD-210397,1,2,6240.00000000000,151.00000000000,-156.00000000000,0,12.90000000,,,0,1.15000000,,,0,K7 V,4051.00,239.00,-239.00,0,0.747000,0.088000,-0.088000,0,-0.86967,0.00639,-0.00648,0
Barnard b,Barnard's star,1,4,3.15420000000,0.00040000000,-0.00040000000,0,0.72000000,,,0,0.06420000,,,0,M3.5-4 V,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,-2.44977,0.00872,-0.00890,0
Barnard c,Barnard's star,1,4,4.12440000000,0.00060000000,-0.00060000000,0,0.74300000,,,0,0.06630000,,,0,M3.5-4 V,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,-2.44977,0.00872,-0.00890,0
Barnard d,Barnard's star,1,4,2.34020000000,0.00030000000,-0.00030000000,0,0.69400000,,,0,0.06200000,,,0,M3.5-4 V,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,-2.44977,0.00872,-0.00890,0
Barnard e,Barnard's star,1,4,6.73920000000,0.00300000000,-0.00300000000,0,0.63700000,,,0,0.05680000,,,0,M3.5-4 V,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,-2.44977,0.00872,-0.00890,0
CD Cet b,CD Cet,1,1,2.29070000000,0.00012000000,-0.00012000000,0,1.82000000,,,0,0.16200000,,,0,M5.0 V,3130.00,51.00,-51.00,0,0.175000,0.006000,-0.006000,0,-2.53254,0.00778,-0.00792,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,10037.50000000000,2737.50000000000,-2737.50000000000,0,12.40000000,,,0,1.11000000,,,0,,580.50,24.50,-24.50,0,,,,,,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,8040000.00000000000,470000.00000000000,-470000.00000000000,0,20.84870410,0.56044903,-0.56044903,0,1.86000000,0.05000000,-0.05000000,0,M9-L1,2320.00,40.00,-40.00,0,0.245000,0.007000,-0.008000,0,-2.85000,0.06000,-0.06000,0
CHXR 73 b,CHXR 73,1,1,,,,,12.30000000,,,0,1.10000000,,,0,M3.5,3099.00,128.00,-128.00,0,,,,,,,,
CI Tau c,CI Tau,1,1,25.20000000000,1.70000000000,-1.80000000000,0,13.00000000,,,0,1.16000000,,,0,K7,3807.00,131.00,-131.00,0,1.880857,0.086711,-0.415068,0,-0.25458,0.00652,-0.00662,0
COCONUTS-2 b,COCONUTS-2 A,1,1,402000000.00000000000,470000000.00000000000,-100000000.00000000000,0,12.44196858,0.33626942,-0.44835923,0,1.11000000,0.03000000,-0.04000000,0,M3 V,3406.00,69.00,-69.00,0,0.388000,0.011000,-0.011000,0,-1.73200,0.01100,-0.01100,0
CT Cha b,CT Cha,1,1,,,,,24.66000000,9.08000000,-6.73000000,0,2.20000000,0.81000000,-0.60000000,0,K5e,4403.00,6.00,-10.00,0,1.679694,0.095969,-0.157166,0,-0.10177,0.00370,-0.00373,0
CoRoT-1 b,CoRoT-1,1,1,1.50895570000,0.00000640000,-0.00000640000,0,16.70000000,0.90000000,-0.90000000,0,1.49000000,0.08000000,-0.08000000,0,G0 V,5950.00,150.00,-150.00,0,1.110000,0.050000,-0.050000,0,0.29793,0.02929,-0.03141,0
CoRoT-10 b,CoRoT-10,1,1,13.24060000000,0.00020000000,-0.00020000000,0,10.87000000,0.78000000,-0.78000000,0,0.97000000,0.07000000,-0.07000000,0,K1 V,5075.00,75.00,-75.00,0,0.790000,0.050000,-0.050000,0,-0.72608,0.01188,-0.01221,0
CoRoT-11 b,CoRoT-11,1,1,2.99433000000,0.00001100000,-0.00001100000,0,16.03000000,0.34000000,-0.34000000,0,1.43000000,0.03000000,-0.03000000,0,F6 V,6440.00,120.00,-120.00,0,1.370000,0.030000,-0.030000,0,0.37753,0.02269,-0.02395,0
CoRoT-12 b,CoRoT-12,1,1,2.82804200000,0.00001300000,-0.00001300000,0,16.14000000,1.46000000,-1.46000000,0,1.44000000,0.13000000,-0.13000000,0,,5675.00,80.00,-80.00,0,1.116000,0.096000,-0.092000,0,0.07000,0.01000,-0.01000,0
